Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait descriptio,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method descriptio,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_358:0000079,SKC (%)_OBSOLETE,SKC_Cmp_pct,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000077,Seed kernel content,Morphological,The weight of kernel over weight of whole seed,,SKC,,Seed,kernel content,Standard for CottonGen,,CO_358:0000078,SKC - Computation,Computation,Weight of kernel over weight of whole seed,SKC=Weight of kernel over weight of whole seed,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000082,SCP (%)_OBSOLETE,SCP_Cmp_pct,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000080,Seed coat percent,Morphological,Weight of seed coat over weight of whole seed,,SCP,,Seed coat,percent,Standard for CottonGen,,CO_358:0000081,SCP - Computation,Computation,Weight of seed coat over weight of whole seed,Seed coat (%) = (coat dry weight / seed dry weight) × 100,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000084,FEL (%)_OBSOLETE,FEL_M_pct,QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000009,Fiber elongation,Quality,Elongation is the degree of extension of the fibers before a break occurs when measuring strength,,FEL,,Fiber,elongation,Standard for CottonGen,,CO_358:0000083,FEL - (unknown method) Measurement,Measurement,Fiber elongation,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000086,E1 (%)_OBSOLETE,"E1_M_pct, ELO, elongation",trial/germplasm/QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000009,Fiber elongation,Quality,Elongation is the degree of extension of the fibers before a break occurs when measuring strength,,FEL,,Fiber,elongation,Standard for CottonGen,,CO_358:0000085,E1 - HVI Measurement,Measurement,E1 is an HVI standard measurement of percentage elongation at break of the center 1/8 inch of the fiber bundle measured for T1 strength on the Stelometer,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000088,FM (%)_OBSOLETE,"FM_M_pct, Arealometer M, maturity ratio, MR",QTL evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000013,Fiber mature content,Quality,"Arealometer M, the simple linear regression prediction of caustic soda percent maturity",,FM,,Fiber,maturity,Standard for CottonGen,,CO_358:0000087,FM - AFIS Measurement,Measurement,Arealometer M. M=150.5 - 38.1*Arealometer I,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000090,FM HVI (%)_OBSOLETE,"FM_HVI_M_pct, Arealometer M",trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000013,Fiber mature content,Quality,"Arealometer M, the simple linear regression prediction of caustic soda percent maturity",,FM,,Fiber,maturity,Standard for CottonGen,,CO_358:0000089,FM - HVI Measurement,Measurement,FM is the fiber maturity content measured by HVI,,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000092,"QS (1,1,3,5)_OBSOLETE",QS-1-1-3-5_Cmp_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000014,Fiber quality score,Quality,"Fiber quality score (Qscore), very similar to a selection index, adds the weighted values of selected fiber traits (length, mic, UI, strength) to provide a single measure (0-100) of desirable fiber qualities",,FQS,,Fiber,quality,Standard for CottonGen,,CO_358:0000091,QS-1-1-3-5 - Computation,Computation,"Fiber quality score calculated by weighting selected fiber traits as follows: fiber length (0.1), mic (0.1), UI (0.3), and strength (0.5)",QS-1-1-3-5 = 1*FL+1*MIC+3*UI+5*FS,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000094,"QS (2,1,4,3)_OBSOLETE",QS-2-1-4-3_Cmp_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000014,Fiber quality score,Quality,"Fiber quality score (Qscore), very similar to a selection index, adds the weighted values of selected fiber traits (length, mic, UI, strength) to provide a single measure (0-100) of desirable fiber qualities",,FQS,,Fiber,quality,Standard for CottonGen,,CO_358:0000093,QS-2-1-4-3 - Computation,Computation,"Fiber quality score calculated by weighting selected fiber traits as follows: fiber length (0.2), mic (0.1), UI (0.4), and strength (0.3)",QS-2-1-4-3 = 2*FL+1*MIC+4*UI+3*FS,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000096,"QS (4.5,2.5,0,3)_OBSOLETE",QS-4.5-2.5-0-3_Cmp_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000014,Fiber quality score,Quality,"Fiber quality score (Qscore), very similar to a selection index, adds the weighted values of selected fiber traits (length, mic, UI, strength) to provide a single measure (0-100) of desirable fiber qualities",,FQS,,Fiber,quality,Standard for CottonGen,,CO_358:0000095,QS-4.5-2.5-0-3 - Computation,Computation,"Fiber quality score calculated by weighting selected fiber traits as follows: fiber length (0.45), mic (0.25), UI (0.0), and strength (0.3)",QS-4.5-2.5-0-3 = 4.5*FL+2.5*MIC+0*UI+3*FS,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
,CO_358:0000098,"QS (5,2.5,1.5,1)_OBSOLETE",QS-5-2.5-1.5-1_Cmp_pct,trial evaluation,,Obsolete,,CottonGen,Jing Yu,20-May-19,English,Cotton,CO_358:0000014,Fiber quality score,Quality,"Fiber quality score (Qscore), very similar to a selection index, adds the weighted values of selected fiber traits (length, mic, UI, strength) to provide a single measure (0-100) of desirable fiber qualities",,FQS,,Fiber,quality,Standard for CottonGen,,CO_358:0000097,QS-5-2.5-1.5-1 - Computation,Computation,"Fiber quality score calculated by weighting selected fiber traits as follows: fiber length (0.5), mic (0.25), UI (0.15), and strength (0.10)",QS-5-2.5-1.5-1 = 5*FL+2.5*MIC+1.5*UI+1*FS,,CO_358:0000054,%,Numerical,2,0,100,,,,,,,,,,,
